view,state,age_band_years,count,median_log1p_stars,p25_log1p_stars,p75_log1p_stars,median_stars,invalid_negative_recency_count,missing_updated_at_count
archived,False,12–16,6378,6.1291,5.5607,7.0741,458.0,0,0
archived,False,1–2,7890,5.8021,5.4072,6.4394,330.0,0,0
archived,False,2–3,10225,5.826,5.4161,6.4816,338.0,0,0
archived,False,3–5,29315,5.8721,5.451,6.5482,354.0,0,0
archived,False,5–8,46025,5.961,5.4848,6.7142,387.0,0,0
archived,False,8–12,35429,6.0379,5.5175,6.869,418.0,0,0
archived,False,<1,5288,5.823,5.4205,6.5103,337.0,0,0
archived,True,12–16,762,5.9623,5.4649,6.7511,387.5,0,0
archived,True,1–2,150,5.7807,5.4026,6.4615,323.0,0,0
archived,True,2–3,281,5.6937,5.366,6.1247,296.0,0,0
archived,True,3–5,1287,5.7652,5.3982,6.3395,318.0,0,0
archived,True,5–8,3515,5.9243,5.4723,6.6134,373.0,0,0
archived,True,8–12,3897,5.961,5.4806,6.7166,387.0,0,0
archived,True,<1,78,5.9763,5.6122,6.6515,393.0,0,0
recency,1–3y,12–16,102,5.2806,5.1832,5.4238,195.5,0,0
recency,1–3y,2–3,1,5.2364,5.2364,5.2364,187.0,0,0
recency,1–3y,3–5,9,5.2983,5.2204,5.323,199.0,0,0
recency,1–3y,5–8,121,5.2575,5.1705,5.3423,191.0,0,0
recency,1–3y,8–12,300,5.2832,5.1804,5.381,196.0,0,0
recency,31–90d,12–16,1251,5.7398,5.4205,6.2076,310.0,0,0
recency,31–90d,1–2,186,5.3706,5.2271,5.6076,214.0,0,0
recency,31–90d,2–3,398,5.3706,5.2364,5.6348,214.0,0,0
recency,31–90d,3–5,2263,5.4596,5.2653,5.743,234.0,0,0
recency,31–90d,5–8,6724,5.5645,5.3083,5.9454,260.0,0,0
recency,31–90d,8–12,6753,5.6836,5.3706,6.1291,293.0,0,0
recency,31–90d,<1,36,5.3303,5.2217,5.5896,205.5,0,0
recency,91d–1y,12–16,924,5.4972,5.2933,5.7838,243.0,0,0
recency,91d–1y,1–2,26,5.3224,5.2163,5.6481,204.0,0,0
recency,91d–1y,2–3,95,5.3423,5.193,5.4617,208.0,0,0
recency,91d–1y,3–5,538,5.3423,5.2257,5.5245,208.0,0,0
recency,91d–1y,5–8,2903,5.4161,5.2523,5.6802,224.0,0,0
recency,91d–1y,8–12,3988,5.4848,5.2781,5.7807,240.0,0,0
recency,91d–1y,<1,2,5.1722,5.1481,5.1963,175.5,0,0
recency,>3y,12–16,5,5.2204,5.1591,5.2204,184.0,0,0
recency,>3y,8–12,5,5.1874,5.1874,5.2627,178.0,0,0
recency,≤30d,12–16,4858,6.5162,5.8141,7.4989,675.0,0,0
recency,≤30d,1–2,7828,5.8201,5.4205,6.4615,336.0,0,0
recency,≤30d,2–3,10012,5.8579,5.4381,6.5147,349.0,0,0
recency,≤30d,3–5,27792,5.9375,5.4889,6.6214,378.0,0,0
recency,≤30d,5–8,39792,6.1356,5.5872,6.9236,461.0,0,0
recency,≤30d,8–12,28280,6.319,5.6836,7.2211,554.0,0,0
recency,≤30d,<1,5328,5.8289,5.425,6.5195,339.0,0,0
