metric,value,population,notes
count,150520,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
minimum,167.0,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
median,378.0,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
p75,800.0,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
p90,2029.0,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
p95,3788.05,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
p99,12819.24,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
maximum,298393.0,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
mean,1117.169313,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
top_1pct_total_star_share,0.245404,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
top_10pct_total_star_share,0.600347,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_minimum,5.123964,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_median,5.937536,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_p75,6.685861,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_p90,7.615791,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_p95,8.239871,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_p99,9.45878,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_maximum,12.60617,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
log1p_mean,6.221146,labeled repositories,"Zeros are valid; missing, negative, or non-finite targets block RMSLE analysis."
